,GARDA DIVISION,OFFENCE,TYPE OF OFFENCE,Total_2016,Total_2017,Total_2018
1497,D.M.R. SOUTHERN,Litter offences,DAMAGE TO PROPERTY AND ENVIRONMENT,4,1,9
1498,D.M.R. SOUTHERN,Disorderly conduct,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,805,826,845
1499,D.M.R. SOUTHERN,Trespass offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,207,172,189
1500,D.M.R. SOUTHERN,Liquor licensing offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,15,9,12
1501,D.M.R. SOUTHERN,Prostitution offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,0,0,7
1502,D.M.R. SOUTHERN,Regulated betting/money/ collection/trading offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,9,12,5
1503,D.M.R. SOUTHERN,Social code offences (n.e.c.),PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,20,41,33
1504,D.M.R. SOUTHERN,Offences against government and its agents,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,11,6,8
1505,D.M.R. SOUTHERN,Organisation of crime and conspiracy to commit crime,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,0,1,0
1506,D.M.R. SOUTHERN,Perverting the course of justice,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,1,0,5
1507,D.M.R. SOUTHERN,Offences while in custody/ breach of court orders,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,459,433,592
1508,D.M.R. EASTERN,Murder,HOMICIDE OFFENCES,0,1,3
1509,D.M.R. EASTERN,Manslaughter,HOMICIDE OFFENCES,0,0,0
1510,D.M.R. EASTERN,Infanticide,HOMICIDE OFFENCES,0,0,0
1511,D.M.R. EASTERN,Dangerous driving leading to death,HOMICIDE OFFENCES,0,3,0
1512,D.M.R. EASTERN,Rape and sexual assault,SEXUAL OFFENCES,67,72,83
1513,D.M.R. EASTERN,Other sexual offences,SEXUAL OFFENCES,13,17,13
1514,D.M.R. EASTERN,Murder-attempt,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,0,1,0
1515,D.M.R. EASTERN,Murder-threat,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,29,31,36
1516,D.M.R. EASTERN,Harassment and related offences,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,56,56,52
1517,D.M.R. EASTERN,Assault causing harm/ poisoning,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,79,88,88
1518,D.M.R. EASTERN,Other assault,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,300,373,348
1519,D.M.R. EASTERN,Dangerous driving causing serious bodily harm,DANGEROUS OR NEGLIGENT ACTS,0,0,1
1520,D.M.R. EASTERN,Driving/in charge of a vehicle while over legal alcohol limit,DANGEROUS OR NEGLIGENT ACTS,102,137,145
1521,D.M.R. EASTERN,Driving/in charge of a vehicle under the influence of drugs,DANGEROUS OR NEGLIGENT ACTS,6,4,13
1522,D.M.R. EASTERN,Endangerment with potential for serious harm/death,DANGEROUS OR NEGLIGENT ACTS,6,2,9
1523,D.M.R. EASTERN,Abandoning a child/ child neglect and cruelty,DANGEROUS OR NEGLIGENT ACTS,7,16,2
1524,D.M.R. EASTERN,Unseaworthy/dangerous use of boat or ship,DANGEROUS OR NEGLIGENT ACTS,0,2,0
1525,D.M.R. EASTERN,False alarm/interference with aircraft or air transport facilities,DANGEROUS OR NEGLIGENT ACTS,0,0,0
1526,D.M.R. EASTERN,Endangering traffic offences,DANGEROUS OR NEGLIGENT ACTS,14,18,13
1527,D.M.R. EASTERN,False imprisonment,KIDNAPPING AND RELATED OFFENCES,3,3,0
1528,D.M.R. EASTERN,Abduction of person under 16 years of age,KIDNAPPING AND RELATED OFFENCES,2,0,0
1529,D.M.R. EASTERN,Human trafficking offences,KIDNAPPING AND RELATED OFFENCES,0,1,0
1530,D.M.R. EASTERN,Robbery of an establishment or institution,ROBBERY/EXTORTION AND HIJACKING OFFENCES,28,27,24
1531,D.M.R. EASTERN,Robbery of cash or goods in transit,ROBBERY/EXTORTION AND HIJACKING OFFENCES,1,0,2
1532,D.M.R. EASTERN,Robbery from the person,ROBBERY/EXTORTION AND HIJACKING OFFENCES,42,33,49
1533,D.M.R. EASTERN,Blackmail or extortion,ROBBERY/EXTORTION AND HIJACKING OFFENCES,1,0,5
1534,D.M.R. EASTERN,Carjacking/ hijacking/unlawful seizure of aircraft/vessel,ROBBERY/EXTORTION AND HIJACKING OFFENCES,2,2,1
1535,D.M.R. EASTERN,Aggravated burglary,BURGLARY AND RELATED OFFENCES,13,7,3
1536,D.M.R. EASTERN,Burglary (not aggravated),BURGLARY AND RELATED OFFENCES,1809,1673,1149
1537,D.M.R. EASTERN,Possession of an article (with intent to burgle/ steal/ demand),BURGLARY AND RELATED OFFENCES,32,39,27
1538,D.M.R. EASTERN,Theft/taking of vehicle and related offences,THEFT AND RELATED OFFENCES,229,201,195
1539,D.M.R. EASTERN,Theft from person,THEFT AND RELATED OFFENCES,88,113,90
1540,D.M.R. EASTERN,Theft from shop,THEFT AND RELATED OFFENCES,1013,1232,1102
1541,D.M.R. EASTERN,Other thefts/ handling stolen property,THEFT AND RELATED OFFENCES,1962,1967,1776
1542,D.M.R. EASTERN,Fraud/ deception and related offences,FRAUD/DECEPTION AND RELATED OFFENCES,231,212,285
1543,D.M.R. EASTERN,Importation of drugs,CONTROLLED DRUG OFFENCES,0,0,0
1544,D.M.R. EASTERN,Cultivation or manufacture of drugs,CONTROLLED DRUG OFFENCES,4,1,1
1545,D.M.R. EASTERN,Possession of drugs for sale or supply,CONTROLLED DRUG OFFENCES,40,64,78
1546,D.M.R. EASTERN,Possession of drugs for personal use,CONTROLLED DRUG OFFENCES,221,358,353
1547,D.M.R. EASTERN,Other drug offences,CONTROLLED DRUG OFFENCES,16,8,5
1548,D.M.R. EASTERN,Explosives/ chemical weapons offences,WEAPONS AND EXPLOSIVES OFFENCES,0,0,0
1549,D.M.R. EASTERN,Discharging a firearm,WEAPONS AND EXPLOSIVES OFFENCES,1,1,1
1550,D.M.R. EASTERN,Possession of a firearm,WEAPONS AND EXPLOSIVES OFFENCES,1,6,3
1551,D.M.R. EASTERN,Offensive weapons offences (n.e.c.),WEAPONS AND EXPLOSIVES OFFENCES,42,35,59
1552,D.M.R. EASTERN,Fireworks offences,WEAPONS AND EXPLOSIVES OFFENCES,4,6,9
1553,D.M.R. EASTERN,Arson,DAMAGE TO PROPERTY AND ENVIRONMENT,61,53,48
1554,D.M.R. EASTERN,Criminal damage (not arson),DAMAGE TO PROPERTY AND ENVIRONMENT,850,789,764
1555,D.M.R. EASTERN,Litter offences,DAMAGE TO PROPERTY AND ENVIRONMENT,3,0,1
1556,D.M.R. EASTERN,Disorderly conduct,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,423,476,491
1557,D.M.R. EASTERN,Trespass offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,140,141,126
1558,D.M.R. EASTERN,Liquor licensing offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,2,2,1
1559,D.M.R. EASTERN,Prostitution offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,0,0,2
1560,D.M.R. EASTERN,Regulated betting/money/ collection/trading offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,5,4,2
1561,D.M.R. EASTERN,Social code offences (n.e.c.),PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,32,40,19
1562,D.M.R. EASTERN,Offences against government and its agents,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,7,6,2
1563,D.M.R. EASTERN,Organisation of crime and conspiracy to commit crime,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,0,1,0
1564,D.M.R. EASTERN,Perverting the course of justice,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,2,0,0
1565,D.M.R. EASTERN,Offences while in custody/ breach of court orders,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,248,307,326
1566,D.M.R. WESTERN,Murder,HOMICIDE OFFENCES,6,3,5
1567,D.M.R. WESTERN,Manslaughter,HOMICIDE OFFENCES,0,0,0
1568,D.M.R. WESTERN,Infanticide,HOMICIDE OFFENCES,0,0,0
1569,D.M.R. WESTERN,Dangerous driving leading to death,HOMICIDE OFFENCES,4,1,1
1570,D.M.R. WESTERN,Rape and sexual assault,SEXUAL OFFENCES,150,164,193
1571,D.M.R. WESTERN,Other sexual offences,SEXUAL OFFENCES,33,24,32
1572,D.M.R. WESTERN,Murder-attempt,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,5,3,3
1573,D.M.R. WESTERN,Murder-threat,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,49,55,114
1574,D.M.R. WESTERN,Harassment and related offences,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,109,128,103
1575,D.M.R. WESTERN,Assault causing harm/ poisoning,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,283,242,339
1576,D.M.R. WESTERN,Other assault,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,709,730,817
1577,D.M.R. WESTERN,Dangerous driving causing serious bodily harm,DANGEROUS OR NEGLIGENT ACTS,1,1,1
1578,D.M.R. WESTERN,Driving/in charge of a vehicle while over legal alcohol limit,DANGEROUS OR NEGLIGENT ACTS,348,399,348
1579,D.M.R. WESTERN,Driving/in charge of a vehicle under the influence of drugs,DANGEROUS OR NEGLIGENT ACTS,16,17,36
1580,D.M.R. WESTERN,Endangerment with potential for serious harm/death,DANGEROUS OR NEGLIGENT ACTS,7,11,22
1581,D.M.R. WESTERN,Abandoning a child/ child neglect and cruelty,DANGEROUS OR NEGLIGENT ACTS,58,40,27
1582,D.M.R. WESTERN,Unseaworthy/dangerous use of boat or ship,DANGEROUS OR NEGLIGENT ACTS,0,0,0
1583,D.M.R. WESTERN,False alarm/interference with aircraft or air transport facilities,DANGEROUS OR NEGLIGENT ACTS,0,0,0
1584,D.M.R. WESTERN,Endangering traffic offences,DANGEROUS OR NEGLIGENT ACTS,12,23,28
1585,D.M.R. WESTERN,False imprisonment,KIDNAPPING AND RELATED OFFENCES,11,6,5
1586,D.M.R. WESTERN,Abduction of person under 16 years of age,KIDNAPPING AND RELATED OFFENCES,4,1,4
1587,D.M.R. WESTERN,Human trafficking offences,KIDNAPPING AND RELATED OFFENCES,2,2,3
1588,D.M.R. WESTERN,Robbery of an establishment or institution,ROBBERY/EXTORTION AND HIJACKING OFFENCES,142,121,109
1589,D.M.R. WESTERN,Robbery of cash or goods in transit,ROBBERY/EXTORTION AND HIJACKING OFFENCES,10,2,5
1590,D.M.R. WESTERN,Robbery from the person,ROBBERY/EXTORTION AND HIJACKING OFFENCES,168,210,192
1591,D.M.R. WESTERN,Blackmail or extortion,ROBBERY/EXTORTION AND HIJACKING OFFENCES,13,6,10
1592,D.M.R. WESTERN,Carjacking/ hijacking/unlawful seizure of aircraft/vessel,ROBBERY/EXTORTION AND HIJACKING OFFENCES,21,29,34
1593,D.M.R. WESTERN,Aggravated burglary,BURGLARY AND RELATED OFFENCES,30,30,37
1594,D.M.R. WESTERN,Burglary (not aggravated),BURGLARY AND RELATED OFFENCES,1564,1461,1456
1595,D.M.R. WESTERN,Possession of an article (with intent to burgle/ steal/ demand),BURGLARY AND RELATED OFFENCES,64,59,40
1596,D.M.R. WESTERN,Theft/taking of vehicle and related offences,THEFT AND RELATED OFFENCES,798,855,860
1597,D.M.R. WESTERN,Theft from person,THEFT AND RELATED OFFENCES,203,200,191
1598,D.M.R. WESTERN,Theft from shop,THEFT AND RELATED OFFENCES,1732,1862,1870
1599,D.M.R. WESTERN,Other thefts/ handling stolen property,THEFT AND RELATED OFFENCES,3082,3617,2997
1600,D.M.R. WESTERN,Fraud/ deception and related offences,FRAUD/DECEPTION AND RELATED OFFENCES,432,462,535
1601,D.M.R. WESTERN,Importation of drugs,CONTROLLED DRUG OFFENCES,0,1,0
1602,D.M.R. WESTERN,Cultivation or manufacture of drugs,CONTROLLED DRUG OFFENCES,10,9,10
1603,D.M.R. WESTERN,Possession of drugs for sale or supply,CONTROLLED DRUG OFFENCES,292,276,362
1604,D.M.R. WESTERN,Possession of drugs for personal use,CONTROLLED DRUG OFFENCES,1098,1050,1273
1605,D.M.R. WESTERN,Other drug offences,CONTROLLED DRUG OFFENCES,56,49,54
1606,D.M.R. WESTERN,Explosives/ chemical weapons offences,WEAPONS AND EXPLOSIVES OFFENCES,1,3,1
1607,D.M.R. WESTERN,Discharging a firearm,WEAPONS AND EXPLOSIVES OFFENCES,23,18,15
1608,D.M.R. WESTERN,Possession of a firearm,WEAPONS AND EXPLOSIVES OFFENCES,30,29,21
1609,D.M.R. WESTERN,Offensive weapons offences (n.e.c.),WEAPONS AND EXPLOSIVES OFFENCES,156,168,172
1610,D.M.R. WESTERN,Fireworks offences,WEAPONS AND EXPLOSIVES OFFENCES,6,17,14
1611,D.M.R. WESTERN,Arson,DAMAGE TO PROPERTY AND ENVIRONMENT,147,195,170
1612,D.M.R. WESTERN,Criminal damage (not arson),DAMAGE TO PROPERTY AND ENVIRONMENT,2107,1911,1608
1613,D.M.R. WESTERN,Litter offences,DAMAGE TO PROPERTY AND ENVIRONMENT,2,4,3
1614,D.M.R. WESTERN,Disorderly conduct,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,897,1014,1133
1615,D.M.R. WESTERN,Trespass offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,195,145,150
1616,D.M.R. WESTERN,Liquor licensing offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,17,18,11
1617,D.M.R. WESTERN,Prostitution offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,0,2,1
1618,D.M.R. WESTERN,Regulated betting/money/ collection/trading offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,10,6,3
1619,D.M.R. WESTERN,Social code offences (n.e.c.),PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,25,21,24
1620,D.M.R. WESTERN,Offences against government and its agents,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,7,7,4
1621,D.M.R. WESTERN,Organisation of crime and conspiracy to commit crime,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,0,1,1
1622,D.M.R. WESTERN,Perverting the course of justice,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,3,4,1
1623,D.M.R. WESTERN,Offences while in custody/ breach of court orders,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,735,1139,1705
